filename,category,raw_ocr_text,status
0 (1).jpg,manga,,success
0 (2).jpg,manga,,success
0 (3).jpg,manga,,success
0 (4).jpg,manga,"aes

HMOH, BET
you 6uys

THOUGHT I
WAS RUSTY",success
0.jpg,manga,"SHOULD I
SUSPEND YOUR
RIGHT TO TAKE
PHOTOS NEXT?! _ >",success
15.jpeg,manga,,success
2.jpg,manga,,success
5.jpg,manga,"Ho 5x

rICKHLD
iv WHR SR
dan Gus:",success
Screenshot_1.png,manga,"(3) DETECTIVE COMICS

Next AS NEWS OF DICE'S STRANGE DEATH RESOUNDS BATMAN, I KNOW YOU LOVE
‘STILL, THERE WAS THA BE MURDER -- IT'S (MPOSS/BLE,!

COMMISSIONER GORDON:
THIS 19 FRED BARKER! I'VE R
RECEIVED THE SAME TYPE UT DON'T WORRY JUST 10 BE
OF DEATH-NOTE THAT Jia SAFE, VLL HAVE YOUR HOUSE
DCE DID! youve Gor AY. <fas9 FULL OF POLICE TONIGHT.”

70 HELP ME

WE'RE NOT EARLY
YOUR WATCH MUST SEE, FRED?
WATERS AND COMMISSIONER) BE SLOW! AND YOU'RE GOING TO
GORDON: BUT YOURE J EVERYTHING'S BE OKAY. COME ON-
EARLY--HAS SOME FINE~THE POUCE “ LETS PLAY SOME
WILL BE ALONG CARDS TILL THIS
NA MOMENT. COMMISSIONER. MY dy HOAX BLOWS
(MEN ARE GUARDING
EVERY ENTRANCE,",success
Screenshot_10.png,manga,,success
Screenshot_12.png,manga,,success
Screenshot_2.png,manga,"PLEASE LET
US PASS!
THIS MAN

iS cus

| BUT TWO WATCHING &
NOT BEEN FOOLE

TIVE COMICS

HURRY, ANOTHER OF THE
THOSE CLOCKS JOKER'S REVERSE
ARE WRONG— @ TRICKS! WATCH

THEYRE THAT CROWD!
RUNNING _, J HE'S IN THERE
BACKWARDS.’ SOME PLACE

IGURES HAVE
R

THAT INVALID IN THEN@ BATMAN'S HUNCH IS RIGHT, FOR
WHEELCHAIR— HIS VI} SUDDENLY.
SHOES ARE DUsTY.’, J er
HE'S BEEN WALKING! Jam Quick. NOW'S
HE'S A FAKE,” 4am OUR CHANCE./

START THE

WESTERN

FLIER— IN
EVERSE J

ITS A SWELL NEXT TIME YOU
WAY 1O OPEN PLAY INVALID, JOKER,
UP THAT Lockeo ) | |WIPE THE DUST OFF
GOLD CAR,’ YOUR SHOES",success
Screenshot_23.png,manga,"MEANWHILE —— THE CAR stops) Ts ONNER G
D'Enue store Rom eh

i WHERE IT
Por HARD LOO)",success
Screenshot_3.png,manga,"Editorial
Advisory Board

DR. LAURETTA BENDER
of Peychiatry
we York Ustrersiby

School of

JOSETTE FRANK.

Chia Shady “An

DR. C. BOWIE MILLICAN
Department of English Literature
New York University

Dr. W. W. B. SONES
Profesor of Educa
Director of Cor

lam Shady
ty of Pittiburgh

Dr, S. HARCOURT PEPPARD
‘Acting Director, Bureau of Child Guidance
Board of Education, City of New York

ACTION COMICS
A DATE WITH JUDY
ADVENTURE COMICS
ALLAMERICAN COMICS
ALLFLASH
ALL FUNNY COMICS
ALLSTAR COMICS
‘ANIMAL ANTICS.
BATMAN
BOY COMMANDOS
BUZZY
COMIC CAVALCADE
DETECTIVE COMICS
FLASH COMICS
FUNNY FOLKS
FUNNY STUFF
GREEN LANTERN
LEADING COMICS
MORE FUN COMICS
MUTT & JEFF
REAL FACT COMICS
REAL SCREEN COMICS
‘SENSATION COMICS
STAR SPANGLED COMICS
SUPERMAN.
WONDER. WOMAN
WORLD'S FINEST COMICS

“4
0
THERE'S NO SUCH |,,
ANIMAL. \'4g
WE'VE HUNTED HIGH *
AND LOW,
IN LAND OF APE
AND CANNIBAL,
BUT NOWHERE To
BE FOUND
IS X, THE UNKNOWN
QUANTITY—
POOR CHAP, HE'LL NEVER
READ THE BOOKS
WITH THE SIGN THAT
MEANS “I WANT IT,
GEE.""

FOR_ EXAMPLE /
IvS YOUR
GUARANTEE
OF THE BEST
IN ANY COMIC
MAGAZINE /

225 22 ae oe
=",success
Screenshot_4.png,manga,,success
Screenshot_5.png,manga,,success
Screenshot_6.png,manga,"+7
este} — te

AGUTRAREAB
$7— ROU RIE",success
Screenshot_7.png,manga,"ABEWUEA
Barat
KESDA

— SRDORIE

FPitBA RAK
RIRAMMAAAK AS
MMRERERS

A+ — FRITS
FN EF
XA—MAVE",success
Screenshot_8.png,manga,,success
handwritten_1.jpg,handwritten,,success
image (1).jpg,handwritten,"Le | Wane
sous",success
image (10).jpg,handwritten,"xssuredness ""Bella Bella Narie” ( Rarlophone ), o lively song that chonge tempo mid-way.",success
image (11).jpg,handwritten,Showing Yat Such Changes Are part of Qa,success
image (2).jpg,handwritten,Large ty Shy o/ Katou UM 3 ar Ohely Yo hen,success
image (3).jpg,handwritten,,success
image (4).jpg,handwritten,teeresses have hem Craleol Nest ~bpur Seakwerk,success
image (5).jpg,handwritten,"mM Nortum Rroderro, lus Ahe lolo-nial

Seerehory",success
image (6).jpg,handwritten,lucky lo haye descended From Soh economic oltludes .,success
image (7).jpg,handwritten,aunck {bor RU-; charlet. [Cw Jeeta kh Lad,success
image (8).jpg,handwritten,,success
image (9).jpg,handwritten,"‘Lock fe wont om earnantly ""You at net gorng",success
