filename,predicted_category,confidence,best_pipeline,similarity,ocr_text,detected_language,translations,true_category,source
0 (1).jpg,manga,0.8075184657581571,gray_2x_sharp,0.40529411764705886,"Sv
PAN",sl,{'en': 'St\nPAN'},manga,sample
0 (2).jpg,manga,0.5476055756964803,nlm_adapt_filtered,0.5821917808219178,"“IF ee ed ee on LK NO GOES TO BATTLE BY TSAIN THE CROWD) WILL LINTIL YOU ACEYVE SID, NO MATTER LONG",en,"{'ja': '「もし LK で EE ED EE が TSAIN THE CROWD によって戦いに行かないなら、どんなに長くてもあなたはシドを受け入れるでしょう」', 'ur': '""اگر LK پر EE ED EE NO GO BATLE BY TSAIN CROWD) تو آپ کو کوئی بات نہیں بہت دیر لگے گی', 'zh-cn': '“如果 ee ed ee 在 LK 上不参加 TSAIN THE CROWD 的战斗）LINTIL 你 ACEYVE SID，无论多久'}",manga,sample
0 (3).jpg,manga,0.8097113564036096,otsu_blue,0.4222222222222222,". y fas Os YEA Pl 4 if R
os (ua G by |
me £4"" | ZI eer \",cy,"{'en': '. the bass If YEA Pl 4 if R\nif (ua G by |\nme £4"" | ZI eer \\'}",manga,sample
0 (4).jpg,manga,0.8705240362396127,gray_2x_sharp_filtered,0.6746987951807228,"HMPH, BET YOU GUYS THOUGHT WAS RUSTY AFTER SO MANY YEARS",en,"{'ja': 'ふーん、何年も経ったので錆びついたと思ったでしょうね', 'ur': 'HMPH، شرط لگائیں کہ آپ لوگوں نے سوچا کہ اتنے سالوں بعد زنگ آلود ہو گیا تھا', 'zh-cn': '哼，我打赌你们认为这么多年后已经生锈了'}",manga,sample
0.jpg,manga,0.6799315157119621,nlm_adapt_filtered,0.7261146496815286,YOU CAN NO LONGER DO INTERVIEWS! RIGHT TO TAKE PHOTOS NEXT?! HS o> xa WYN,so,{'en': 'YOU CAN NO LONGER DO INTERVIEWS! RIGHT TO TAKE PHOTOS NEXT?! HS o> xa WYN'},manga,sample
15.jpeg,manga,0.823204398246246,adaptive_filtered,0.043478260869565216,~萱這謹雷疆菫 ン ー ぐ ぅ Q ン 優 ア ヾ ー マ ン ン ー マ グ う パ い シ ィ し ン シ ペ ッ ペ ン 芒 お ド ズ ダ s 蓬 ー ン う ゲ ベ 蕩熱 る る 方 ん ー 書 ー ハ い し ん ハ か 交 て ァ ー ド =萱謹壽萱.謹『萱璽潭聰⑪ 惚 ー 紗}・ ソ ク ン ム ー シ ー ド ー シ ー ン ア 夜 鯵 い ⑩篁飢騒 彡 カ シ ク ダ タ ブ ル 嘲蓋嘉贋 ン プ S ア ッ ル ー ン ク タ ン ー ヘ 尾 〟ー奮 欝賣遜 棚 人 績 M ー し O ー 丿 ニ 団 る ゃ 迦 返 ト ーー に 画 ほ 一 I ペ ー テ ン ス リ ド が は 攫 ーー〟′〟 ー 口 し ト ミ デ ー い ミ P ー 息き そ 価 竈鱒蓼~婆 ー M い a ー ー で れ 疆⑪` 称 ュ 鱒~ ー 三 も 閾 縄鱒瘻⑪縄 ー S 八 子 糸 ご ー ー い ベ ペ ー ぺ こ ー ー そ ー ミ,ja,{'en': '~ 萱謹萬謹 熆熆菫 ん ー Ｇ う Ｇ Ｇ ん Ｇ Ｇ Ｇ ん Ｇ Ｇ Ｇ Ｇ ん Ｇ Ｇ Ｇ Ｇ Ｇ Ｇ ん Ｇ Ｇ Ｇ Ｇ ん Ｇ Ｇ Ｇ Ｇ Ｇ Ｇ Ｇ Ｇ Ｇ Ｇ ん Ｇ Ｇ Ｇ Ｇ Ｇ Ｇ ん Ｇ Ｇ Ｇ Ｇ Ｇ Ｇ ん Ｇ Ｇ Ｇ Ｇ Ｇ Ｇ Ｇ Ｇ Ｇ Ｇ Ｇ Ｇ Ｇ Ｇ Ｇ Ｇ sec) Or intersect the card = 萱謹棽萱. S A L R N K TAN H E O I I I S I S A R U R N K TAN H E O I I I S I S A R U R N K TAN H E O I I S A B I H E P E S H I L E I N D I M E S O M E S I O I N I D I N R N Y A C A G A R E T A N I O N I P A P E N T E N S R I D G A H A B I C O N I O N I D E N D E T E M I D E.” I P ー Breath so value Kamomasu 蓼~Ba ー M I a ー ー Dere ▆⑪` Name Yu 鴒~ ー 三も Threshold Trout fistula⑪ ー S Yako Ito Go ー ー I Be pe peko ー So Mi'},manga,sample
2.jpg,manga,0.7542333703440878,gray_2x_sharp_filtered,0.18421052631578946,ョ J ら 蓼 号 睨 い い,ja,"{'en': ""I'm staring at J.""}",manga,sample
5.jpg,manga,0.6798565079479836,clahe_2x_sharp,0.0225140712945591,"ン 健 、 、 /W 魄 -

) 鐡 =
喪 絵 z , M 不 は ・
⑧ へ 、 斗 ④ さ
pg イ ④ ロ =
て 、 い \ 志 シ ー シ
, め リ ン ミ ー ク 、
③ P コ
, レ ク ク ク ヽ ク
い 、 で つ Ct ら

e ,剛

ミ = ふ

の の の の の ど

の の の の の の

き

④ ) _ ぐ
さ m
ニ ニ ニ ニ ニ ニ ベ ニ ー= ニ ー ニ ー:

へ ぺ ッ

ふ へ へ へ へ へ
oQ
へ へ へ へ ヽ ヽ ヾ",ja,"{'en': 'N Ken , , /W 魄 -\n\n) Iron =\nMourning picture z, M not ・\n⑧ to, doo ④\npg A ④ B =\nte \\ shi shi shi\n, Melin Meek ,\n③P\n, lek kuku woku\nCt et al.\n\ne, hard\n\nMi = Fu\n\nthroat\n\nof of of of of of of of of of of of of\n\nKi\n\n④) _ gu\nm\nni ni ni ni ni ni be ni = ni ni nee:\n\nHepe\n\nFu he he he he he he\noQ\nTo to to to to ヽ ヽ ヾ'}",manga,sample
Screenshot_1.png,manga,0.7082237214170751,gray_2x_sharp_filtered,0.06729475100942127,"DETECTIVE COMI NEXT DAY, AS NEWS OF DICE'S STRANGE DEATH RESOUNDS THROUGH GOTHAM CITY. STILL, THERE WAS THAT DICE DIED VERY COMMISSIONER. EYES OF MORE THAN IT HAVE AN AUTOPSY HAS REVEALED COINCIDENCE? I WISH NOTHING THAN DEATH FELLS HADN'T THOUGHT FROM NATURAL CAUSES. I IT WAS NOTHING AND CANNOT TERM THIS THROWN IT AWAY... COMMISSIONER THIS IS FRED BARKER. I'VE RECEIVED THE SAME TYPE YOu: BUT DON'T WORRY-JUST TO BE Je LATER... OF DEATH-NOTE THATJIM E DID. YOU'VE GoT A) WE'RE NOT EARLY- YOUR WATCH MUST GE cs BATMAN, I KNOW YOU LOVE A MYSTERY-- BUT THIS BE IT'S COME ON; NOW-- I'VE MORE IM- PORTANT SAFE, LL HAVE YOUR HOUSE FULL OF POLICE TONIGHT.’ SEE, FRED? WATERS AND COMMISSIONER BE SLOW. AND MIDNIGHT YOU'RE GOING TO Wy GORDON: BUT YOU'RE EVERYTHING'S DRAWS EARLY--HAS SOME- FINE--THE POLICE THING GONE WRONG WILL BE ALONG BE OKAY. COME ON-- EVERYTHING'S LET'S PLAY SOME IN READINESS, CARDS TILL THIS IN A MOMENT... COMMISSIONER. MY eer MEN ARE GUARDING EVERY",en,"{'ja': '翌日、ゴッサムシティ中にダイスの奇妙な死のニュースが響きわたる中、刑事コミ。それでも、ダイスは非常に死亡しました、委員長。解剖で判明した以上の人の目は偶然？死が自然原因で考えられなかったらいいのに。何もなかったので、これを捨てたわけにはいきません... 長官、こちらはフレッド・バーカーです。私はあなたと同じタイプを受け取りました：でも、心配しないでください-後でJeになるだけです...DEATH-NOTEのJIM Eがそうでした。あなたはわかっています A) 私たちはまだ早いです - あなたの時計はバットマンのものでなければなりません、私はあなたがミステリーが大好きであることを知っています - しかし、これはそれです。さて――私の身の安全がより重要です。今夜、あなたの家は警察でいっぱいになりますよ。』わかるか、フレッド？ウォーターズとコミッショナーはゆっくりしてください。そして真夜中、あなたはワイ・ゴードンのところへ行くことになります。でも、あなたはすべてが早い段階で引き分けています-いくつかの良い点があります-警察のことはうまくいきません。さあ、準備万端でカードをプレイしましょう。すぐにこれまでカードをプレイしましょう... 委員長。私の素晴らしい男たちがすべてを守っています', 'ur': 'جاسوس کامی اگلے دن، جیسے ہی ڈائس کی عجیب موت کی خبر گوتم شہر میں سنائی دیتی ہے۔ پھر بھی، وہاں تھا کہ ڈائس بہت ہی کمشنر مر گیا۔ اس سے زیادہ کی آنکھوں نے ایک پوسٹ مارٹم کیا ہے اتفاق کیا ہے؟ میری خواہش ہے کہ قدرتی وجوہات سے موت کے علاوہ کچھ نہ سوچا گیا ہو۔ میں یہ کچھ بھی نہیں تھا اور اسے ختم نہیں کر سکتا... کمشنر یہ فریڈ بارکر ہے۔ مجھے آپ کی طرح ہی موصول ہوئی ہے: لیکن فکر نہ کریں-بس بعد میں بننے کے لئے... موت کا نوٹ- جو جم ای نے کیا۔ آپ کو مل گیا ہے A) ہم جلدی نہیں ہیں- آپ کی گھڑی GE cs BATMAN ضروری ہے، میں جانتا ہوں کہ آپ ایک راز سے محبت کرتے ہیں-- لیکن یہ ہو جائے گا؛ اب-- میں زیادہ ضروری محفوظ ہوں، آج رات آپ کا گھر پولیس سے بھرا ہو گا۔ دیکھو، فریڈ؟ پانی اور کمشنر سست ہوں۔ اور آدھی رات کو آپ وائی گورڈن جا رہے ہیں: لیکن آپ سب کچھ جلد تیار ہو گیا ہے--کچھ ٹھیک ہے--پولیس کے ساتھ جو کچھ غلط ہوا ہے وہ ٹھیک ہو جائے گا۔ چلو-- سب کچھ ہے تیاری کے ساتھ کھیلتے ہیں، کارڈ اس وقت تک... کمشنر۔ میرے مرد ہر ایک کی حفاظت کر رہے ہیں۔', 'zh-cn': '第二天，科米侦探，戴斯离奇死亡的消息传遍哥谭市。尽管如此，骰子还是死得很惨。尸检以外的人的眼睛已经揭示了巧合？我希望没有人想到过死亡是自然原因造成的。我这没什么，不能说这是把它扔掉了……专员，我是弗雷德·巴克。我已经收到了和你一样的类型：但是别担心——只是稍后会成为吉姆·E 所做的死亡笔记。你已经得了 A) 我们还早——你的手表必须是 GE cs 蝙蝠侠，我知道你喜欢神秘——但事情就这样了；现在——我更重要的是安全，今晚你的房子里就会布满警察。”看到了吗，弗雷德？沃特斯和专员要慢慢来。午夜你要去怀伊戈登：但是你一切都还早——有一些——很好——警察出问题了，一切都会好起来的。来吧——一切都准备好了，一会儿就打牌……专员。我的手下正在守护着每一个'}",manga,sample
Screenshot_10.png,manga,0.6890470427035761,clahe_2x_sharp,0.1016949152542373,"③

れ ,ノz,,麟ノ 〟",ja,"{'en': '③\n\nRe, Noz,, Rinno 〟'}",manga,sample
