filename,category,ocr_text,raw_ocr_text,ground_truth,raw_word_acc,processed_word_acc,raw_char_acc,processed_char_acc
0 (2).jpg,manga,BUT DRVER MO TO BATTLE BY BH THE CROWD WILL WAIT LINT ER. WO MATTER? HOW LONG,,"BUT DRIVER, IF WE'RE GOING TO SUIDO BASHI AT THIS HOUR, ISN'T IT FASTER TO GO BY TRAIN?, NO WARRIOR GOES TO BATTLE BY TRAIN SIR, AND THE CROWD WILL WAIT UNTIL YOU ARRIVE SIR, NO MATTER HOW LONG",0.0,0.2941,0.0,0.0415
0 (4).jpg,manga,WAY BET you 6uys THOUGHT WAS RUSTY AFTER SO MANY YEACS,"aes

HMOH, BET
you 6uys

THOUGHT I
WAS RUSTY","HMPH, BET YOU GUYS THOUGHT I WAS RUSTY AFTER SO MANY YEARS, LOOKS LIKE YOU THOUGHT WRONG, NOW, WHO'S NEXT, HEY",0.3158,0.4211,0.0364,0.0182
0.jpg,manga,SHOULD I SUSPEND YOUR RIGHT TO TAKE PHOTOS NEXT?! YOU CAN NO LONGER DO INTERVIEWS!,"SHOULD I
SUSPEND YOUR
RIGHT TO TAKE
PHOTOS NEXT?! _ >","YOU CAN NO LONGER TAKE INTERVIEW!, SHOULD I SUSPEND YOUR RIGHT TO TAKE PHOTOS NEXT?!",0.6429,0.9286,0.0238,0.0238
15.jpeg,manga,ASNS,,"アーサーのほうが傷ついている!!,やはり脆弱いな人間,それ息でも,",0.0,0.0,0.0,0.0
2.jpg,manga,,,"月が不気味な顔に!
世界に起きた異変の
正体とは!? ,    あ… あれは,    なんだ あの
コミカルな
月は!!!",0.0,0.0,0.0,0.0
5.jpg,manga,ie EW Hea,"Ho 5x

rICKHLD
iv WHR SR
dan Gus:","にっ！, そうだヤマト!!!, ドカン, !!!, え!?, ガチッ!!, 不知夜月, わはははは!!, ドンチャン♪, アハハハハ!!!, ドォン, だはははは!!, 惜しいな こんなに 強くて馬が 合うのに!!, コレさえ 取れたら いつか 必ず!!, 僕だって海へ!!, ねーねー 海外は どうだ!? 若い奴ら どんどん 出て来て ないか!?, !!!, おれは別格として… 今各海で ヤベェ奴らが 暴れてる らしいんだ, 南の""キッド""だろ, 若いの? そうだな""キャベンディッシュ""とか…, ってのは話題だな…, 北の""ロー""西の""ベッジ""…, キラ, キラ, キラ",0.0,0.0,0.0,0.0
Screenshot_1.png,manga,"DETECTIVE COMICS NEXT DAY, AS NEWS OF DICE'S STRANGE DEATH RESOUND: THROUGH GOTHAM CITY..- Poice DIED BEFORE THE VERY AN AUTOPSY HAS REVEALED NOTHING THAN DEATH FROM NATURAL CAUSES. I COMMISSIONER GORDON-- THIS IS FRED BARKER: I'VE RECEIVED THE SAME TYPE Y OF DEATH-NOTE THATIIM DICE DID.’ YOu""VE GOT HELP ME! WE'RE NOT EARLY- your WATCH MUST EL WATERS AND COMMISSIONER BE AND GORDON! BUT YOU'RE EARLY--HAS SOME- FINE--THE POLICE THING GONE WRONG? JA WILL BE ALONG IN A MOMENT. STILL, THERE WAS THAT NOTE, COMMISSIONER. EYES OF MORE THAN PEOPLE!) COULD IT HAVE BEEN A COINCIDENCE I WISH FELLS HADN'T THOUGHT CANNOT TERM THROWN IT AWAY... BATMAN, I KNOW YOU LOVE A MYSTERY-- BUT THIS BE _MURDER-- IT'S COME ON; NOW-= I'VE MORE IM= PORTANT ASSIGNMENTS) A FOR ff YOU! BUT DON'T WoRRY-JUST TO BE SAFE, LL HAVE YOUR HOUSE FULL OF POLICE TONIGHT.” iy I SEE, FRED YOU'RE GOING TO BE OKAY. COME IN READINESS, CARDS TILL THIS COMMISSIONER. MY. BLOWS","(3) DETECTIVE COMICS

Next AS NEWS OF DICE'S STRANGE DEATH RESOUNDS BATMAN, I KNOW YOU LOVE
‘STILL, THERE WAS THA BE MURDER -- IT'S (MPOSS/BLE,!

COMMISSIONER GORDON:
THIS 19 FRED BARKER! I'VE R
RECEIVED THE SAME TYPE UT DON'T WORRY JUST 10 BE
OF DEATH-NOTE THAT Jia SAFE, VLL HAVE YOUR HOUSE
DCE DID! youve Gor AY. <fas9 FULL OF POLICE TONIGHT.”

70 HELP ME

WE'RE NOT EARLY
YOUR WATCH MUST SEE, FRED?
WATERS AND COMMISSIONER) BE SLOW! AND YOU'RE GOING TO
GORDON: BUT YOURE J EVERYTHING'S BE OKAY. COME ON-
EARLY--HAS SOME FINE~THE POUCE “ LETS PLAY SOME
WILL BE ALONG CARDS TILL THIS
NA MOMENT. COMMISSIONER. MY dy HOAX BLOWS
(MEN ARE GUARDING
EVERY ENTRANCE,","""NEXT DAY, AS NEWS OF DICE'S STRANGE DEATH RESOUNDS THROUGH GOTHAM CITY...""
""DICE DIED BEFORE THE VERY EYES OF THOSE 20 PEOPLE! LOOKED LIKE AN AUTOPSY MIGHT REVEAL SOMETHING—OTHER THAN DEATH FROM NATURAL CAUSES. IF IT CANNOT, THEN THIS IS MURDER...""
""STILL, THERE WAS THAT NOTE, COMMISSIONER... COULD IT HAVE BEEN A COINCIDENCE IF DICE FELLS HADN'T TOUCHED THE NOTE—AND THEN THROWN IT AWAY..."", ""BATMAN, I KNOW YOU LOVE A MYSTERY—BUT THIS COULDN'T BE MURDER—IT'S IMPOSSIBLE. COME ON, NOW—I'VE MORE IMPORTANT ASSIGNMENTS FOR YOU..."", ""BUT, TWO DAYS LATER...""
""COMMISSIONER GORDON—THIS IS FRED BARKER. I'VE RECEIVED THE SAME-TYPE OF DEATH-NOTE THAT JIM DICE DID! YOU'VE GOT TO HELP ME!"". ""CALM YOURSELF, BARKER! SOME PRACTICAL JOKER IS TAKING ADVANTAGE OF DICE—BUT DON'T WORRY—JUST TO BE SAFE, I'LL HAVE YOUR HOUSE BE FULL OF POLICE TONIGHT..."",  ""THEN, THAT EVENING...""
""WATERS AND COMMISSIONER GORDON! BUT YOU'RE EARLY—HAS SOMETHING GONE WRONG?""
""WE'RE NOT EARLY—YOUR WATCH MUST BE SLOW!—AND EVERYTHING'S FINE—THE POLICE WILL BE ALONG IN A MOMENT..."", ""AND, AS MIDNIGHT DRAWS NEAR...""
""EVERYTHING'S IN READINESS, COMMISSIONER. MY MEN ARE GUARDING EVERY ENTRANCE..."", ""SEE, FRED? YOU'RE GOING TO BE OKAY. COME ON—LET'S PLAY SOME CARDS TILL THIS HOAX BLOWS OVER.""",0.3563,0.475,0.0285,0.0444
Screenshot_1.png,manga,"DETECTIVE COMICS NEXT DAY, AS NEWS OF DICE'S STRANGE DEATH RESOUND: THROUGH GOTHAM CITY..- Poice DIED BEFORE THE VERY AN AUTOPSY HAS REVEALED NOTHING THAN DEATH FROM NATURAL CAUSES. I COMMISSIONER GORDON-- THIS IS FRED BARKER: I'VE RECEIVED THE SAME TYPE Y OF DEATH-NOTE THATIIM DICE DID.’ YOu""VE GOT HELP ME! WE'RE NOT EARLY- your WATCH MUST EL WATERS AND COMMISSIONER BE AND GORDON! BUT YOU'RE EARLY--HAS SOME- FINE--THE POLICE THING GONE WRONG? JA WILL BE ALONG IN A MOMENT. STILL, THERE WAS THAT NOTE, COMMISSIONER. EYES OF MORE THAN PEOPLE!) COULD IT HAVE BEEN A COINCIDENCE I WISH FELLS HADN'T THOUGHT CANNOT TERM THROWN IT AWAY... BATMAN, I KNOW YOU LOVE A MYSTERY-- BUT THIS BE _MURDER-- IT'S COME ON; NOW-= I'VE MORE IM= PORTANT ASSIGNMENTS) A FOR ff YOU! BUT DON'T WoRRY-JUST TO BE SAFE, LL HAVE YOUR HOUSE FULL OF POLICE TONIGHT.” iy I SEE, FRED YOU'RE GOING TO BE OKAY. COME IN READINESS, CARDS TILL THIS COMMISSIONER. MY. BLOWS","(3) DETECTIVE COMICS

Next AS NEWS OF DICE'S STRANGE DEATH RESOUNDS BATMAN, I KNOW YOU LOVE
‘STILL, THERE WAS THA BE MURDER -- IT'S (MPOSS/BLE,!

COMMISSIONER GORDON:
THIS 19 FRED BARKER! I'VE R
RECEIVED THE SAME TYPE UT DON'T WORRY JUST 10 BE
OF DEATH-NOTE THAT Jia SAFE, VLL HAVE YOUR HOUSE
DCE DID! youve Gor AY. <fas9 FULL OF POLICE TONIGHT.”

70 HELP ME

WE'RE NOT EARLY
YOUR WATCH MUST SEE, FRED?
WATERS AND COMMISSIONER) BE SLOW! AND YOU'RE GOING TO
GORDON: BUT YOURE J EVERYTHING'S BE OKAY. COME ON-
EARLY--HAS SOME FINE~THE POUCE “ LETS PLAY SOME
WILL BE ALONG CARDS TILL THIS
NA MOMENT. COMMISSIONER. MY dy HOAX BLOWS
(MEN ARE GUARDING
EVERY ENTRANCE,","LIFE IS AT THEIR HANDS- DEATH IS ON THEIR MINDS HENRY FONDA 12 ANGRY MEN, IT EXPLODES LIKE 12 STICKS OF DYNAMITE!",0.1053,0.2105,0.0531,0.0619
Screenshot_1.png,manga,"DETECTIVE COMICS NEXT DAY, AS NEWS OF DICE'S STRANGE DEATH RESOUND: THROUGH GOTHAM CITY..- Poice DIED BEFORE THE VERY AN AUTOPSY HAS REVEALED NOTHING THAN DEATH FROM NATURAL CAUSES. I COMMISSIONER GORDON-- THIS IS FRED BARKER: I'VE RECEIVED THE SAME TYPE Y OF DEATH-NOTE THATIIM DICE DID.’ YOu""VE GOT HELP ME! WE'RE NOT EARLY- your WATCH MUST EL WATERS AND COMMISSIONER BE AND GORDON! BUT YOU'RE EARLY--HAS SOME- FINE--THE POLICE THING GONE WRONG? JA WILL BE ALONG IN A MOMENT. STILL, THERE WAS THAT NOTE, COMMISSIONER. EYES OF MORE THAN PEOPLE!) COULD IT HAVE BEEN A COINCIDENCE I WISH FELLS HADN'T THOUGHT CANNOT TERM THROWN IT AWAY... BATMAN, I KNOW YOU LOVE A MYSTERY-- BUT THIS BE _MURDER-- IT'S COME ON; NOW-= I'VE MORE IM= PORTANT ASSIGNMENTS) A FOR ff YOU! BUT DON'T WoRRY-JUST TO BE SAFE, LL HAVE YOUR HOUSE FULL OF POLICE TONIGHT.” iy I SEE, FRED YOU'RE GOING TO BE OKAY. COME IN READINESS, CARDS TILL THIS COMMISSIONER. MY. BLOWS","(3) DETECTIVE COMICS

Next AS NEWS OF DICE'S STRANGE DEATH RESOUNDS BATMAN, I KNOW YOU LOVE
‘STILL, THERE WAS THA BE MURDER -- IT'S (MPOSS/BLE,!

COMMISSIONER GORDON:
THIS 19 FRED BARKER! I'VE R
RECEIVED THE SAME TYPE UT DON'T WORRY JUST 10 BE
OF DEATH-NOTE THAT Jia SAFE, VLL HAVE YOUR HOUSE
DCE DID! youve Gor AY. <fas9 FULL OF POLICE TONIGHT.”

70 HELP ME

WE'RE NOT EARLY
YOUR WATCH MUST SEE, FRED?
WATERS AND COMMISSIONER) BE SLOW! AND YOU'RE GOING TO
GORDON: BUT YOURE J EVERYTHING'S BE OKAY. COME ON-
EARLY--HAS SOME FINE~THE POUCE “ LETS PLAY SOME
WILL BE ALONG CARDS TILL THIS
NA MOMENT. COMMISSIONER. MY dy HOAX BLOWS
(MEN ARE GUARDING
EVERY ENTRANCE,",Always,0.0,0.0,0.0,0.0
Screenshot_1.png,manga,"DETECTIVE COMICS NEXT DAY, AS NEWS OF DICE'S STRANGE DEATH RESOUND: THROUGH GOTHAM CITY..- Poice DIED BEFORE THE VERY AN AUTOPSY HAS REVEALED NOTHING THAN DEATH FROM NATURAL CAUSES. I COMMISSIONER GORDON-- THIS IS FRED BARKER: I'VE RECEIVED THE SAME TYPE Y OF DEATH-NOTE THATIIM DICE DID.’ YOu""VE GOT HELP ME! WE'RE NOT EARLY- your WATCH MUST EL WATERS AND COMMISSIONER BE AND GORDON! BUT YOU'RE EARLY--HAS SOME- FINE--THE POLICE THING GONE WRONG? JA WILL BE ALONG IN A MOMENT. STILL, THERE WAS THAT NOTE, COMMISSIONER. EYES OF MORE THAN PEOPLE!) COULD IT HAVE BEEN A COINCIDENCE I WISH FELLS HADN'T THOUGHT CANNOT TERM THROWN IT AWAY... BATMAN, I KNOW YOU LOVE A MYSTERY-- BUT THIS BE _MURDER-- IT'S COME ON; NOW-= I'VE MORE IM= PORTANT ASSIGNMENTS) A FOR ff YOU! BUT DON'T WoRRY-JUST TO BE SAFE, LL HAVE YOUR HOUSE FULL OF POLICE TONIGHT.” iy I SEE, FRED YOU'RE GOING TO BE OKAY. COME IN READINESS, CARDS TILL THIS COMMISSIONER. MY. BLOWS",,"""NEXT DAY, AS NEWS OF DICE'S STRANGE DEATH RESOUNDS THROUGH GOTHAM CITY...""
""DICE DIED BEFORE THE VERY EYES OF THOSE 20 PEOPLE! LOOKED LIKE AN AUTOPSY MIGHT REVEAL SOMETHING—OTHER THAN DEATH FROM NATURAL CAUSES. IF IT CANNOT, THEN THIS IS MURDER...""
""STILL, THERE WAS THAT NOTE, COMMISSIONER... COULD IT HAVE BEEN A COINCIDENCE IF DICE FELLS HADN'T TOUCHED THE NOTE—AND THEN THROWN IT AWAY..."", ""BATMAN, I KNOW YOU LOVE A MYSTERY—BUT THIS COULDN'T BE MURDER—IT'S IMPOSSIBLE. COME ON, NOW—I'VE MORE IMPORTANT ASSIGNMENTS FOR YOU..."", ""BUT, TWO DAYS LATER...""
""COMMISSIONER GORDON—THIS IS FRED BARKER. I'VE RECEIVED THE SAME-TYPE OF DEATH-NOTE THAT JIM DICE DID! YOU'VE GOT TO HELP ME!"". ""CALM YOURSELF, BARKER! SOME PRACTICAL JOKER IS TAKING ADVANTAGE OF DICE—BUT DON'T WORRY—JUST TO BE SAFE, I'LL HAVE YOUR HOUSE BE FULL OF POLICE TONIGHT..."",  ""THEN, THAT EVENING...""
""WATERS AND COMMISSIONER GORDON! BUT YOU'RE EARLY—HAS SOMETHING GONE WRONG?""
""WE'RE NOT EARLY—YOUR WATCH MUST BE SLOW!—AND EVERYTHING'S FINE—THE POLICE WILL BE ALONG IN A MOMENT..."", ""AND, AS MIDNIGHT DRAWS NEAR...""
""EVERYTHING'S IN READINESS, COMMISSIONER. MY MEN ARE GUARDING EVERY ENTRANCE..."", ""SEE, FRED? YOU'RE GOING TO BE OKAY. COME ON—LET'S PLAY SOME CARDS TILL THIS HOAX BLOWS OVER.""",0.0,0.475,0.0,0.0444
