filename,category,image_path,ground_truth,notes
0 (1).jpg,manga,sample_images/manga\0 (1).jpg,,training for SVM
0 (2).jpg,manga,sample_images/manga\0 (2).jpg,"BUT DRIVER, IF WE'RE GOING TO SUIDO BASHI AT THIS HOUR, ISN'T IT FASTER TO GO BY TRAIN?, NO WARRIOR GOES TO BATTLE BY TRAIN SIR, AND THE CROWD WILL WAIT UNTIL YOU ARRIVE SIR, NO MATTER HOW LONG",
0 (3).jpg,manga,sample_images/manga\0 (3).jpg,,training for SVM
0 (4).jpg,manga,sample_images/manga\0 (4).jpg,"HMPH, BET YOU GUYS THOUGHT I WAS RUSTY AFTER SO MANY YEARS, LOOKS LIKE YOU THOUGHT WRONG, NOW, WHO'S NEXT, HEY",
0.jpg,manga,sample_images/manga\0.jpg,"YOU CAN NO LONGER TAKE INTERVIEW!, SHOULD I SUSPEND YOUR RIGHT TO TAKE PHOTOS NEXT?!",
5.jpg,manga,sample_images/manga\5.jpg,"にっ！, そうだヤマト!!!, ドカン, !!!, え!?, ガチッ!!, 不知夜月, わはははは!!, ドンチャン♪, アハハハハ!!!, ドォン, だはははは!!, 惜しいな こんなに 強くて馬が 合うのに!!, コレさえ 取れたら いつか 必ず!!, 僕だって海へ!!, ねーねー 海外は どうだ!? 若い奴ら どんどん 出て来て ないか!?, !!!, おれは別格として… 今各海で ヤベェ奴らが 暴れてる らしいんだ, 南の""キッド""だろ, 若いの? そうだな""キャベンディッシュ""とか…, ってのは話題だな…, 北の""ロー""西の""ベッジ""…, キラ, キラ, キラ",
Screenshot_1.png,manga,sample_images/manga\Screenshot_1.png,"""NEXT DAY, AS NEWS OF DICE'S STRANGE DEATH RESOUNDS THROUGH GOTHAM CITY...""
""DICE DIED BEFORE THE VERY EYES OF THOSE 20 PEOPLE! LOOKED LIKE AN AUTOPSY MIGHT REVEAL SOMETHING—OTHER THAN DEATH FROM NATURAL CAUSES. IF IT CANNOT, THEN THIS IS MURDER...""
""STILL, THERE WAS THAT NOTE, COMMISSIONER... COULD IT HAVE BEEN A COINCIDENCE IF DICE FELLS HADN'T TOUCHED THE NOTE—AND THEN THROWN IT AWAY..."", ""BATMAN, I KNOW YOU LOVE A MYSTERY—BUT THIS COULDN'T BE MURDER—IT'S IMPOSSIBLE. COME ON, NOW—I'VE MORE IMPORTANT ASSIGNMENTS FOR YOU..."", ""BUT, TWO DAYS LATER...""
""COMMISSIONER GORDON—THIS IS FRED BARKER. I'VE RECEIVED THE SAME-TYPE OF DEATH-NOTE THAT JIM DICE DID! YOU'VE GOT TO HELP ME!"". ""CALM YOURSELF, BARKER! SOME PRACTICAL JOKER IS TAKING ADVANTAGE OF DICE—BUT DON'T WORRY—JUST TO BE SAFE, I'LL HAVE YOUR HOUSE BE FULL OF POLICE TONIGHT..."",  ""THEN, THAT EVENING...""
""WATERS AND COMMISSIONER GORDON! BUT YOU'RE EARLY—HAS SOMETHING GONE WRONG?""
""WE'RE NOT EARLY—YOUR WATCH MUST BE SLOW!—AND EVERYTHING'S FINE—THE POLICE WILL BE ALONG IN A MOMENT..."", ""AND, AS MIDNIGHT DRAWS NEAR...""
""EVERYTHING'S IN READINESS, COMMISSIONER. MY MEN ARE GUARDING EVERY ENTRANCE..."", ""SEE, FRED? YOU'RE GOING TO BE OKAY. COME ON—LET'S PLAY SOME CARDS TILL THIS HOAX BLOWS OVER.""",
Screenshot_2.png,manga,sample_images/manga\Screenshot_2.png,"But two watching figures have not been fooled by the Joker's clever ruse. Hurry! Those clocks are wrong -- they're running backwards!
Another of the Joker's reverse tricks! Watch that crowd! He's in there some place... Please let us pass! This man is ill!
That invalid in the wheelchair -- his shoes are dusty, he's been walking. He's a fake!  Batman's hunch is right, for suddenly...
Quick! Now's our chance. Now to start the Western Flier -- in reverse! It's a swell way to open up that locked gold car! Next time you play invalid, Joker, wipe the dust off your shoes!
And next time you play detective --
Another reversed crime! First the news story... then the getaway... and now he'll return to steal the gold!
What's all the fuss about down there?  ",
Screenshot_23.png,manga,sample_images/manga\Screenshot_23.png,"MEANWHILE —THE CAR STOPS — ITS OWNER GOES INSIDE A DRUG STORE FOR CIGARETTES
I'LL HIDE HERE IN THE RUMBLE SEAT WHERE I WON'T BE DETECTED

THE AUTO STARTS AGAIN — ALL'S WELL UNTIL SUDDENLY IT STRIKES A BUMP IN THE ROAD
BUMP!SHORTY IS KNOCKED UNCONSCIOUS
BONG!THE CAR IS DRIVEN WITHIN A LARGE GARAGE WHERE IT IS MET BY A GROUP OF HARD-LOOKING MEN
WELL, WHAT'S HAPPENED?PLENTY! LISTEN, YOU BIRDS! WE'VE GOT TO ACT — AND ACT FAST!
SCRAM, YOU HOBOS! GO ON, SCRAM!
HA! HA! LOOK AT TH' CHEAP-SKATE HOBOS! HITCHIN' A RIDE!",
Screenshot_3.png,manga,sample_images/manga\Screenshot_3.png,"X is for UNKNOWN X is an unknown quantity. Nobody knows what it is. That’s why it’s called X. It’s used in mathematics and in stories. It’s always something you can’t find. Dr. Lauretta Bender, Associate Professor of Psychiatry, School of Medicine, New York University
Josette Frank, Consultant on Children’s Reading, Child Study Association of America
Dr. C. Bowie Millican, Department of English Literature, New York University
Dr. W. W. D. Sones, Professor of Education and Director of Curriculum Study, University of Pittsburgh
Dr. S. Harcourt Peppard, Acting Director, Bureau of Curriculum Development, Board of Education, City of New York ACTION COMICS
DATE WITH JUDY
ADVENTURE COMICS
ALL-AMERICAN COMICS
ALL-FLASH
ALL FUNNY COMICS
ALL-STAR COMICS
ANIMAL ANTICS
BOY COMMANDOS
BUZZY
COMIC CAVALCADE
DETECTIVE COMICS
FLASH COMICS
FUNNY FOLKS
FUNNY STUFF
GREEN LANTERN
LEADING COMICS
MORE FUN COMICS
MUTT & JEFF
REAL FACT COMICS
REAL SCREEN COMICS
SENSATION COMICS
STAR SPANGLED COMICS
SUPERMAN
WONDER WOMAN
WORLD’S FINEST COMICS DETECTIVE COMICS, No. 128, Oct., 1947. Published monthly.
205 E. 42nd St., New York 17, N.Y.
Entire contents copyright 1947 by National Comics Publications, Inc.
Editorial offices: 480 Lexington Avenue, New York 17, N.Y.
Subscription rates: In the United States and possessions, 1 year $1.00; Canada and foreign countries, $1.50 per year.
Printed in U.S.A.",
handwritten_1.jpg,handwritten,sample_images/handwritten\handwritten_1.jpg,"This is  A test image, writing like this to see what works, A blur should be harder",
image (1).jpg,handwritten,sample_images/handwritten\image (1).jpg,Though they may gather some left-wing,
image (2).jpg,handwritten,sample_images/handwritten\image (2).jpg,A large majority of Labour MPs are likely to turn,
image (3).jpg,handwritten,sample_images/handwritten\image (3).jpg,members THE two rural African Nationalist,
image (4).jpg,handwritten,sample_images/handwritten\image (4).jpg,Peeresses have been created. Most Labour sentiment,
image (5).jpg,handwritten,sample_images/handwritten\image (5).jpg,"in Northern Rhodesia, but the Colonial Secretary,",
image (6).jpg,handwritten,sample_images/handwritten\image (6).jpg,lucky to have descended from such economic altitudes.,
image (7).jpg,handwritten,sample_images/handwritten\image (7).jpg,and their filing clerks. The studio is lad,
image (8).jpg,handwritten,sample_images/handwritten\image (8).jpg,water to make him swim when he is born.,
image (9).jpg,handwritten,sample_images/handwritten\image (9).jpg,"""Look!"" he went on earnestly. ""You're not going""",
image.jpg,handwritten,sample_images/handwritten\image.jpg,"Though they may gather some Left-wing support, a",
test_image.jpg,handwritten,sample_images/handwritten\test_image.jpg,"Polynomial time problems are deterministic and can be solved without complication and is understood by most people whereas NP or nondeterministic polynomial time is used a type of problem which requires effort to solve without any clear method of solving it.

I don't know

The time complexity of binary search is O(log n) while the complexity of linear search is O(n)

I don't know

The big O of the loop below is O(n²)",
