filename,category,ocr_text,detected_language,translation_en,translation_ja,translation_ur,translation_zh,status
0 (1).jpg,manga,,unknown,,,,,success
0 (2).jpg,manga,BUT DRVER MO TO BATTLE BY BH THE CROWD WILL WAIT LINT ER. WO MATTER? HOW LONG,en,,しかし、ドライバーMOはBHと戦い、群衆はリンターを待ちます。どうでもいいですか？どのぐらいの間,لیکن DRVER MO TO BATTLE By BH The Crowd WILL IT lint ER۔ کیا بات ہے؟ کتنا عرصہ,但是驾驶者莫要与 BH 作战，人群会等待林特。 WO重要吗？多长时间,success
0 (3).jpg,manga,,unknown,,,,,success
0 (4).jpg,manga,WAY BET you 6uys THOUGHT WAS RUSTY AFTER SO MANY YEACS,so,WAY BET YOU THOUGHT WAS RUSTY AFTER SO MANY YEACS,,,,success
0.jpg,manga,SHOULD I SUSPEND YOUR RIGHT TO TAKE PHOTOS NEXT?! YOU CAN NO LONGER DO INTERVIEWS!,en,,次に写真を撮る権利を一時停止したほうがいいでしょうか?!もうインタビューはできません！,کیا مجھے اگلی تصویریں لینے کا آپ کا حق معطل کر دینا چاہیے؟! اب آپ انٹرویوز نہیں کر سکتے!,接下来我是不是应该暂停你拍照的权利？！您不能再接受采访了！,success
15.jpeg,manga,ASNS,tl,ASNS,,,,success
2.jpg,manga,,unknown,,,,,success
5.jpg,manga,ie EW Hea,nl,ie EW Hea,,,,success
Screenshot_1.png,manga,"DETECTIVE COMICS NEXT DAY, AS NEWS OF DICE'S STRANGE DEATH RESOUND: THROUGH GOTHAM CITY..- Poice DIED BEFORE THE VERY AN AUTOPSY HAS REVEALED NOTHING THAN DEATH FROM NATURAL CAUSES. I COMMISSIONER GORDON-- THIS IS FRED BARKER: I'VE RECEIVED THE SAME TYPE Y OF DEATH-NOTE THATIIM DICE DID.’ YOu""VE GOT HELP ME! WE'RE NOT EARLY- your WATCH MUST EL WATERS AND COMMISSIONER BE AND GORDON! BUT YOU'RE EARLY--HAS SOME- FINE--THE POLICE THING GONE WRONG? JA WILL BE ALONG IN A MOMENT. STILL, THERE WAS THAT NOTE, COMMISSIONER. EYES OF MORE THAN PEOPLE!) COULD IT HAVE BEEN A COINCIDENCE I WISH FELLS HADN'T THOUGHT CANNOT TERM THROWN IT AWAY... BATMAN, I KNOW YOU LOVE A MYSTERY-- BUT THIS BE _MURDER-- IT'S COME ON; NOW-= I'VE MORE IM= PORTANT ASSIGNMENTS) A FOR ff YOU! BUT DON'T WoRRY-JUST TO BE SAFE, LL HAVE YOUR HOUSE FULL OF POLICE TONIGHT.” iy I SEE, FRED YOU'RE GOING TO BE OKAY. COME IN READINESS, CARDS TILL THIS COMMISSIONER. MY. BLOWS",en,,翌日、探偵漫画、ダイスの奇妙な死のニュースがゴッサムシティ中に響きわたる… - 解剖によって自然死以外の何も明らかにならないうちに、ポースは死亡した。ゴードン長官--フレッド・バーカーです:ダイスが受け取ったのと同じタイプYのデスノートを受け取りました。』助けてください!私たちはまだ早くありません-あなたの時計はエル・ウォーターズと長官とゴードンでなければなりません!しかし、あなたは早い--大丈夫です--警察は間違いを犯しましたか? JA はすぐに解決します。それでも、そのメモは多くの人から注目されていました!) 捨てられないとは思わなかったのは偶然でしたか... バットマン、あなたがミステリーを愛していることは知っています。でも、これは殺人です - さあ、もうすぐです - = 私にはもっと重要な任務があります) でも心配しないでください - 安全のため、今夜あなたの家は警察でいっぱいです。」なるほど、フレッド、きっと大丈夫だよ。準備を整えて、この委員長までカードを渡してください。私の。打撃,جاسوسی کامکس اگلے دن، جیسے ہی ڈائس کی عجیب موت کی خبر گونجتی ہے: گوتھم سٹی کے ذریعے۔ میں کمشنر گورڈن-- یہ فریڈ بارکر ہے: مجھے اسی قسم کا Y آف ڈیتھ نوٹ تھاٹیم ڈائس موصول ہوا ہے۔ آپ نے میری مدد کی ہے! ہم جلد نہیں ہیں- آپ کی نگرانی ضروری ہے اور گورڈن ڈبلیو! لیکن آپ کے پاس کچھ ٹھیک ہے - جے اے اب بھی کچھ لوگوں کی نظروں میں تھا! میں نے سوچا بھی نہیں تھا کہ اسے دور پھینک دیا جائے... بیٹ مین، میں جانتا ہوں کہ تم ایک راز سے محبت کرتے ہو-- لیکن یہ _مرڈر ہے-- اب آنے والا ہے-= میرے پاس مزید IM = پورٹ آؤٹ ہے! فکر کریں-محفوظ رہنے کے لیے، آج رات آپ کا گھر پولیس سے بھرا ہو گا۔ میں دیکھ رہا ہوں، فریڈ آپ ٹھیک ہو جائیں گے۔ تیار رہیں، اس کمشنر تک کارڈز۔ میرا بلوز,侦探漫画第二天，关于戴斯离奇死亡的消息传遍了哥谭市……在尸检结果显示他是自然死亡之前，戴斯就去世了。我是戈登专员——我是弗雷德·巴克：我收到了与骰子相同类型的死亡笔记。’你一定要帮帮我！我们还没到——你的手表必须是沃特斯和专员，还有戈登！但是你还早——有一些——很好——警察出问题了？一会儿就会出现，专员，还有更多人的眼睛！）这可能是巧合，我希望不能把它扔掉……蝙蝠侠，我知道你喜欢一个谜——但这是一个巧合。 _谋杀——现在开始了——=我还有更多重要的任务）是给你的！但别担心——为了安全起见，今晚你的房子里都会有警察。”我明白了，弗雷德，你会没事的。请做好准备，向这位专员发卡。我的。吹,success
Screenshot_10.png,manga,,unknown,,,,,success
